,2020-11-03
0,MMM
1,AXP
2,AMGN
3,AAPL
4,BA
5,CAT
6,CVX
7,CSCO
8,KO
9,DOW
10,GS
11,HD
12,HON
13,IBM
14,INTC
15,JNJ
16,JPM
17,MCD
18,MRK
19,MSFT
20,NKE
21,PG
22,CRM
23,TRV
24,UNH
25,VZ
26,V
27,WBA
28,WMT
29,DIS
